Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint
R42,89.155187,-61.066121,Top,0.000000,47k,R_0603_1608Metric
R43,87.235029,-51.194873,Top,0.000000,47k,R_0603_1608Metric
R44,84.563554,-55.373935,Top,0.000000,47k,R_0603_1608Metric
R45,84.207355,-60.996828,Top,0.000000,220k,R_0603_1608Metric
R46,83.998653,-64.791456,Top,0.000000,680,R_0603_1608Metric
R47,79.008436,-65.764379,Top,0.000000,680,R_0603_1608Metric
R48,99.876604,-44.339215,Top,0.000000,10k,R_0603_1608Metric
R49,67.577174,-94.256756,Top,0.000000,10k,R_0603_1608Metric
R50,102.901137,-94.743732,Top,0.000000,47k,R_0603_1608Metric
R51,77.267891,-91.420535,Top,0.000000,10k,R_0603_1608Metric
R52,109.301319,-86.832567,Top,0.000000,47k,R_0603_1608Metric
R53,107.698924,-43.290259,Top,0.000000,1k (pin3 clamp-current limit),R_0603_1608Metric
R60,102.849971,-3.947196,Top,0.000000,1M,R_0603_1608Metric
R61,100.411663,-39.663598,Top,0.000000,470k,R_0603_1608Metric
R62,82.444812,-70.023466,Top,0.000000,680,R_0603_1608Metric
R63,71.560722,-71.846282,Top,0.000000,680,R_0603_1608Metric
R64,77.536251,-70.480116,Top,0.000000,10k,R_0603_1608Metric
R65,105.093952,-47.505156,Top,0.000000,220k,R_0603_1608Metric
R66,89.522792,-74.046187,Top,0.000000,680,R_0603_1608Metric
R67,81.295801,-74.170785,Top,0.000000,680,R_0603_1608Metric
R68,95.521279,-73.970675,Top,0.000000,10k,R_0603_1608Metric
R69,87.155828,-68.940765,Top,0.000000,220k,R_0603_1608Metric
R70,75.183044,-104.383359,Top,0.000000,100k,R_0603_1608Metric
R71,64.735038,-78.442121,Top,0.000000,100k,R_0603_1608Metric
R72,75.474449,-107.941861,Top,0.000000,100k,R_0603_1608Metric
R73,109.601343,-90.666842,Top,0.000000,100k,R_0603_1608Metric
R74,108.105892,-94.800585,Top,0.000000,220k,R_0603_1608Metric
R75,97.307601,-108.371089,Top,0.000000,680,R_0603_1608Metric
R76,109.842133,-30.156444,Top,0.000000,10k,R_0603_1608Metric
R77,15.268183,-64.357771,Top,0.000000,220k,R_0603_1608Metric
R78,14.993562,-69.658180,Top,0.000000,680,R_0603_1608Metric
R79,114.965651,-30.721716,Top,0.000000,10k,R_0603_1608Metric
R80,9.851309,-67.019144,Top,0.000000,220k,R_0603_1608Metric
R81,9.320902,-63.560205,Top,0.000000,680,R_0603_1608Metric
R82,8.292630,-86.405033,Top,0.000000,680,R_0603_1608Metric
R83,10.972764,-53.900440,Top,0.000000,10k,R_0603_1608Metric
R84,67.448866,-97.645420,Top,0.000000,100k,R_0603_1608Metric
R85,14.183620,-60.964703,Top,0.000000,100k,R_0603_1608Metric
R86,113.766324,-94.802842,Top,0.000000,100k,R_0603_1608Metric
R87,14.000000,-4.000000,Top,0.000000,51k,R_0603_1608Metric
R88,8.496029,-99.512790,Top,0.000000,10k,R_0603_1608Metric
R89,126.098240,-93.505834,Top,0.000000,47k,R_0603_1608Metric
R90,8.529559,-90.856313,Top,0.000000,10k,R_0603_1608Metric
R91,102.387559,-107.801947,Top,0.000000,47k,R_0603_1608Metric
R92,8.640225,-94.655353,Top,0.000000,10k,R_0603_1608Metric
R93,18.000000,-4.000000,Top,0.000000,47k,R_0603_1608Metric
R94,8.479699,-59.539994,Top,0.000000,220k,R_0603_1608Metric
R95,11.274103,-50.087748,Top,0.000000,680,R_0603_1608Metric
R96,11.480615,-46.078371,Top,0.000000,220k,R_0603_1608Metric
R97,16.766557,-29.778796,Top,0.000000,680,R_0603_1608Metric
R98,4.426116,-67.749859,Top,0.000000,10k (buffer DC load),R_0603_1608Metric
R99,5.661127,-54.946299,Top,0.000000,10k (buffer DC load),R_0603_1608Metric
R100,45.944316,-4.103470,Top,0.000000,100k,R_0603_1608Metric
R100A,39.920835,-26.535633,Top,0.000000,39k,R_0603_1608Metric
R101,97.079845,-12.882885,Top,0.000000,100k,R_0603_1608Metric
R101A,37.672344,-31.431222,Top,0.000000,18k,R_0603_1608Metric
R102,92.629449,-6.377169,Top,0.000000,51k,R_0603_1608Metric
R102A,33.623366,-51.271565,Top,0.000000,3.6k,R_0603_1608Metric
R103,97.520240,-8.694862,Top,0.000000,100k,R_0603_1608Metric
R103A,45.737904,-41.847551,Top,0.000000,4.3k,R_0603_1608Metric
R104,100.702982,-17.572970,Top,0.000000,40k2 1%,R_0603_1608Metric
R105,101.003247,-21.231046,Top,0.000000,7k68 1%,R_0603_1608Metric
R106,42.618082,-15.950326,Top,0.000000,47k,R_0603_1608Metric
R106A,25.466666,-64.400000,Top,0.000000,10k,R_0603_1608Metric
R107,37.396145,-23.083395,Top,0.000000,47k,R_0603_1608Metric
R107A,30.362144,-64.358557,Top,0.000000,10k,R_0603_1608Metric
R108,42.431847,-12.432941,Top,0.000000,33k,R_0603_1608Metric
R108A,31.504059,-70.526515,Top,0.000000,1M,R_0603_1608Metric
R109,37.577938,-19.678797,Top,0.000000,147k,R_0603_1608Metric
R109A,31.381278,-74.630732,Top,0.000000,845R 1% (Fetzer Rs),R_0603_1608Metric
R110,53.705596,-16.194432,Top,0.000000,10k,R_0603_1608Metric
R110A,20.512469,-71.151117,Top,0.000000,15k,R_0603_1608Metric
R111,38.355690,-16.068623,Top,0.000000,10k,R_0603_1608Metric
R111A,15.349861,-74.329067,Top,0.000000,220k,R_0603_1608Metric
R112,95.469068,-97.580108,Top,0.000000,100k,R_0603_1608Metric
R112A,23.164691,-44.389107,Top,0.000000,10k,R_0603_1608Metric
R113,89.941772,-106.357265,Top,0.000000,22k,R_0603_1608Metric
R113A,21.872364,-41.026265,Top,0.000000,10k,R_0603_1608Metric
R114,102.008991,-12.861334,Top,0.000000,24k9 (EN divider - EN abs max 6V!),R_0603_1608Metric
R114A,19.585311,-58.994897,Top,0.000000,3.3k,R_0603_1608Metric
R115A,16.663846,-53.706689,Top,0.000000,6.8k,R_0603_1608Metric
R116A,16.506942,-49.175750,Top,0.000000,4.7k,R_0603_1608Metric
R117A,17.993700,-44.989197,Top,0.000000,10k,R_0603_1608Metric
R118A,36.600000,-70.000000,Top,0.000000,220k,R_0603_1608Metric
R119A,45.300000,-65.000000,Top,0.000000,680,R_0603_1608Metric
R120A,45.846282,-61.560722,Top,0.000000,680,R_0603_1608Metric
R121A,57.553131,-58.096948,Top,0.000000,10k,R_0603_1608Metric
R122A,93.232352,-55.232352,Top,0.000000,220k,R_0603_1608Metric
R123A,62.844894,-59.216176,Top,0.000000,680,R_0603_1608Metric
R124A,50.702982,-61.572970,Top,0.000000,680,R_0603_1608Metric
R125A,20.974959,-36.920928,Top,0.000000,10k,R_0603_1608Metric
R126A,20.181385,-63.151948,Top,0.000000,220k,R_0603_1608Metric
R127A,20.142079,-67.155189,Top,0.000000,100k,R_0603_1608Metric
R130,112.567338,-62.352816,Top,0.000000,100k,R_0603_1608Metric
R131,127.600863,-67.302977,Top,0.000000,100k,R_0603_1608Metric
R132,131.600287,-72.034325,Top,0.000000,100k,R_0603_1608Metric
R133,132.690178,-68.215040,Top,0.000000,200k,R_0603_1608Metric
R134,132.102087,-86.510013,Top,0.000000,100k,R_0603_1608Metric
R135,126.857654,-88.829273,Top,0.000000,3.9k,R_0603_1608Metric
R136,133.657295,-89.880803,Top,0.000000,150k,R_0603_1608Metric
R137,116.863703,-100.035276,Top,90.000000,100k,R_0603_1608Metric
R138,119.000000,-102.000000,Top,90.000000,47k,R_0603_1608Metric
R139,119.000000,-96.000000,Top,90.000000,1k,R_0603_1608Metric
R140,29.963680,-29.050146,Top,0.000000,100k,R_0603_1608Metric
R141,62.985646,-55.150972,Top,0.000000,47k,R_0603_1608Metric
R142,50.429705,-64.949446,Top,0.000000,10k,R_0603_1608Metric
R143,15.707206,-36.966797,Top,0.000000,100k,R_0603_1608Metric
R144,17.957436,-25.674695,Top,0.000000,47k,R_0603_1608Metric
R145,14.662643,-57.567064,Top,0.000000,10k,R_0603_1608Metric
R146,40.846181,-74.601597,Top,0.000000,10k,R_0603_1608Metric
R147,87.578661,-70.644086,Top,0.000000,10k,R_0603_1608Metric
R148,114.479759,-85.305137,Top,0.000000,10k,R_0603_1608Metric
R149,115.572659,-77.420370,Top,0.000000,20k,R_0603_1608Metric
R150,134.419233,-64.811741,Top,0.000000,1k,R_0603_1608Metric
R161,56.665334,-61.507255,Top,0.000000,10k,R_0603_1608Metric
R162,55.740685,-70.123304,Top,0.000000,10k,R_0603_1608Metric
R163,62.549690,-63.370417,Top,0.000000,10k,R_0603_1608Metric
R164,76.082629,-56.029123,Top,0.000000,10k,R_0603_1608Metric
R165,62.792220,-68.417418,Top,0.000000,10k,R_0603_1608Metric
R166,62.273322,-72.862634,Top,0.000000,10k,R_0603_1608Metric
R167,55.675294,-66.416641,Top,0.000000,10k,R_0603_1608Metric
